s,method,param,mse,w2_squared
0.3,avg_denoiser,0.3,1.1690427839638884,0.531474181054459
0.3,avg_denoiser,0.35,1.170844301987574,0.46283128982519983
0.3,avg_denoiser,0.4,1.1796577172456588,0.3949700307656672
0.3,avg_denoiser,0.45,1.1966340170732799,0.3293522140421053
0.3,avg_denoiser,0.5,1.2225308690723415,0.26768982672499164
0.3,avg_denoiser,0.55,1.2573273912670724,0.21176381911116174
0.3,avg_denoiser,0.6,1.2998771071362143,0.16309852374244455
0.3,avg_denoiser,0.65,1.3479652477864446,0.12258007337114694
0.3,avg_denoiser,0.7,1.3989838985313634,0.09022620219335689
0.3,avg_denoiser,0.75,1.450690819435944,0.06513269451080221
0.3,avg_denoiser,0.8,1.5016804169615756,0.04576595005836939
0.3,avg_denoiser,0.85,1.5516774411049978,0.03068157957479007
0.3,avg_denoiser,0.9,1.601385345829373,0.01932564464940731
0.3,avg_denoiser,0.95,1.6520029896409119,0.012103006255253127
0.3,avg_denoiser,1.0,1.7046569302289931,0.00982468135603916
0.3,freirich_optimal,0.0,1.7000139853394258,0.0053497603817387425
0.3,freirich_optimal,0.05,1.6476979239539675,0.005925920667470624
0.3,freirich_optimal,0.1,1.5980942311281598,0.009212891157642287
0.3,freirich_optimal,0.15,1.5512029068620028,0.015210142928909317
0.3,freirich_optimal,0.2,1.5070239511554964,0.023917183686678535
0.3,freirich_optimal,0.25,1.4655573640086408,0.03533500607177546
0.3,freirich_optimal,0.3,1.426803145421436,0.049462101777911875
0.3,freirich_optimal,0.35,1.390761295393882,0.06629934193380062
0.3,freirich_optimal,0.4,1.357431813925978,0.08584692980814557
0.3,freirich_optimal,0.45,1.3268147010177254,0.10810513377676709
0.3,freirich_optimal,0.5,1.2989099566691231,0.13307308508381496
0.3,freirich_optimal,0.55,1.2737175808801715,0.16074881278092085
0.3,freirich_optimal,0.6,1.2512375736508707,0.1911335649867194
0.3,freirich_optimal,0.65,1.2314699349812206,0.22422603157409768
0.3,freirich_optimal,0.7,1.2144146648712213,0.26002600321519725
0.3,freirich_optimal,0.75,1.2000717633208724,0.29852991477464147
0.3,freirich_optimal,0.8,1.1884412303301741,0.339738462576385
0.3,freirich_optimal,0.85,1.1795230658991267,0.3836449790464129
0.3,freirich_optimal,0.9,1.1733172700277301,0.4302449277232198
0.3,freirich_optimal,0.95,1.1698238427159837,0.47952944819903176
0.3,freirich_optimal,1.0,1.1690427839638884,0.531474181054459
0.5,avg_denoiser,0.5,0.6123620485908664,0.13745076440008885
0.5,avg_denoiser,0.55,0.6168146130691348,0.11138432181746985
0.5,avg_denoiser,0.6,0.6267657904606142,0.08886192188147739
0.5,avg_denoiser,0.65,0.640979295005609,0.06976050628401823
0.5,avg_denoiser,0.7,0.6573295331921594,0.05375323382830487
0.5,avg_denoiser,0.75,0.6736296920170276,0.04033177421952819
0.5,avg_denoiser,0.8,0.6888181189460539,0.028955964855897725
0.5,avg_denoiser,0.85,0.7032117363340868,0.01935394409182314
0.5,avg_denoiser,0.9,0.7178949229752531,0.0117528777967288
0.5,avg_denoiser,0.95,0.7341718238240753,0.006903316313349881
0.5,avg_denoiser,1.0,0.7529834140032113,0.005565776587931892
0.5,freirich_optimal,0.0,0.7578546994649137,0.005349760381738759
0.5,freirich_optimal,0.05,0.7438409495677422,0.0052666384197890765
0.5,freirich_optimal,0.1,0.7305365804446202,0.005889671798966927
0.5,freirich_optimal,0.15,0.7179415920955475,0.007217480143818269
0.5,freirich_optimal,0.2,0.7060559845205243,0.009252006850058244
0.5,freirich_optimal,0.25,0.6948797577195505,0.011989137106674404
0.5,freirich_optimal,0.3,0.6844129116926259,0.015430696563960112
0.5,freirich_optimal,0.35,0.6746554464397508,0.0195767839644096
0.5,freirich_optimal,0.4,0.6656073619609248,0.02442726569465834
0.5,freirich_optimal,0.45,0.6572686582561486,0.029984436379095758
0.5,freirich_optimal,0.5,0.6496393353254214,0.03624715805666079
0.5,freirich_optimal,0.55,0.6427193931687438,0.04321583713980185
0.5,freirich_optimal,0.6,0.6365088317861155,0.050890341744222974
0.5,freirich_optimal,0.65,0.6310076511775364,0.05926952588631712
0.5,freirich_optimal,0.7,0.626215851343007,0.06835226905624654
0.5,freirich_optimal,0.75,0.6221334322825268,0.0781374838934068
0.5,freirich_optimal,0.8,0.618760393996096,0.08861409745752619
0.5,freirich_optimal,0.85,0.6160967364837145,0.0997773513803491
0.5,freirich_optimal,0.9,0.6141424597453824,0.11164005178738032
0.5,freirich_optimal,0.95,0.6128975637810997,0.12420100313997613
0.5,freirich_optimal,1.0,0.6123620485908664,0.13745076440008885
0.7,avg_denoiser,0.7,0.16843315995093716,0.033522403661404
0.7,avg_denoiser,0.75,0.16833587575589018,0.028446295356483832
0.7,avg_denoiser,0.8,0.16990285651802833,0.02316658408760227
0.7,avg_denoiser,0.85,0.1731851183722409,0.01802489858909851
0.7,avg_denoiser,0.9,0.17836380219536957,0.013741623967860717
0.7,avg_denoiser,0.95,0.18563962788025704,0.01100238168916056
0.7,avg_denoiser,1.0,0.1949629780180203,0.010215232566999433
0.7,freirich_optimal,0.0,0.20623942683409507,0.005349760381738749
0.7,freirich_optimal,0.05,0.20250641296281927,0.004978456101346307
0.7,freirich_optimal,0.1,0.19896736756808223,0.004796523127578928
