s,method,param,mse,w2_squared
0.3,avg_denoiser,0.3,1.1858551253134306,0.5378611876902165
0.3,avg_denoiser,0.35,1.186916638860206,0.4686928778650185
0.3,avg_denoiser,0.4,1.1948294449548618,0.4002441403201203
0.3,avg_denoiser,0.45,1.2107791029176977,0.3339120329837492
0.3,avg_denoiser,0.5,1.2356290669151517,0.2713365351314776
0.3,avg_denoiser,0.55,1.2695592029045508,0.21427060157075037
0.3,avg_denoiser,0.6,1.3116842905426511,0.16429011482460873
0.3,avg_denoiser,0.65,1.3599158560279323,0.12238294931195426
0.3,avg_denoiser,0.7,1.4113169775733376,0.08861134153636929
0.3,avg_denoiser,0.75,1.4630533420853167,0.06210548640955409
0.3,avg_denoiser,0.8,1.5137218205178322,0.04145519713842029
0.3,avg_denoiser,0.85,1.5635963184646546,0.025386097295072692
0.3,avg_denoiser,0.9,1.6138523947231356,0.013417904718168606
0.3,avg_denoiser,0.95,1.6658367800787859,0.005971286776113369
0.3,avg_denoiser,1.0,1.7205919572974788,0.0038371005360286338
0.3,freirich_optimal,0.0,1.7244749462332758,0.002225892674597196
0.3,freirich_optimal,0.05,1.6713193046869983,0.002803746899502575
0.3,freirich_optimal,0.1,1.6209241526670666,0.0061401292848211365
0.3,freirich_optimal,0.15,1.5732894901734806,0.012236112989392508
0.3,freirich_optimal,0.2,1.5284153172062405,0.02109159351093277
0.3,freirich_optimal,0.25,1.4863016337653459,0.03270610649732078
0.3,freirich_optimal,0.3,1.4469484398507972,0.04707989433876089
0.3,freirich_optimal,0.35,1.4103557354625949,0.06421307568320686
0.3,freirich_optimal,0.4,1.3765235206007378,0.08410489067992853
0.3,freirich_optimal,0.45,1.3454517952652267,0.10675495037354982
0.3,freirich_optimal,0.5,1.3171405594560617,0.13216400801190673
0.3,freirich_optimal,0.55,1.2915898131732422,0.16033190111631368
0.3,freirich_optimal,0.6,1.268799556416769,0.19125857986530861
0.3,freirich_optimal,0.65,1.248769789186641,0.22494313339182959
0.3,freirich_optimal,0.7,1.2315005114828592,0.2613833179447724
0.3,freirich_optimal,0.75,1.216991723305423,0.3005781790261659
0.3,freirich_optimal,0.8,1.205243424654333,0.34253001619297907
0.3,freirich_optimal,0.85,1.1962556155295887,0.38723766560863254
0.3,freirich_optimal,0.9,1.1900282959311903,0.43469886329803975
